song_title,artist,youtube_url,start_time,amp_model,gain,volume,treble,middle,bass,stomp_fx,mod_fx,delay_fx,reverb_fx
A New England,Billy Bragg,https://www.youtube.com/watch?v=sEDlFOd0xsk,30,Twin Clean,3.0,6.5,8.0,1.5,8.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",None,None,"{""type"": ""Plate"", ""settings"": {""level"": 10.0, ""decay"": 2.0, ""tone"": 9.0}}"
Celebrated Summer,Husker Du,https://www.youtube.com/watch?v=lF40NLLSr0s,0,Twin Clean,4.5,9.0,3.5,8.0,6.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.0, ""speed"": 3.5, ""depth"": 2.5}}",None,"{""type"": ""Plate"", ""settings"": {""level"": 2.5, ""decay"": 1.5, ""tone"": 7.0}}"
Samba Pa Ti,Santana,https://www.youtube.com/watch?v=timZoOs9ozo,0,Champ,7.5,3.5,7.0,1.0,5.0,"{""type"": ""Overdrive"", ""settings"": {""level"": 3.0, ""gain"": 7.5, ""low"": 3.0, ""mid"": 5.0, ""high"": 5.0}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 5.0, ""thresh"": 5.0, ""mode"": ""LO-DOWN"", ""filter"": ""LPF"", ""peak"": 5.0}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 5.9, ""tone"": 5.5}}"
Oh!,Sleater-Kinney,https://www.youtube.com/watch?v=oS4KYnLKRRY,25,Super Clean,6.0,9.5,8.5,7.5,4.5,"{""type"": ""Blues Drive"", ""settings"": {""level"": 9.0, ""gain"": 5.5, ""tone"": 5.0, ""blend"": 5.0}}",None,"{""type"": ""Delay"", ""settings"": {""level"": 2.0, ""time"": 400, ""feedback"": 2.0, ""tone"": 5.5}}",None
Freddie's Dead,Curtis Mayfield,https://youtu.be/esIQyaGEUFU?si=8Sp0I-XE-IbhqIeV,30,50s Twin,9.5,7.0,5.0,9.5,5.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 10.0, ""thresh"": 5.5, ""mode"": ""HI-UP"", ""filter"": ""BPF"", ""peak"": 5.5}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 4.5, ""tone"": 10.0}}"
Seventh Wave,Devin Townsend,https://www.youtube.com/watch?v=b3-NQvRmo3I,20,90s Rock,3.5,7.0,6.0,3.5,6.5,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""tight""}}","{""type"": ""Flanger"", ""settings"": {""level"": 7.5, ""speed"": 4.5, ""depth"": 6.0, ""feedback"": 8.0}}","{""type"": ""Delay"", ""settings"": {""level"": 7.0, ""time"": 400, ""feedback"": 8.5, ""tone"": 1.0}}","{""type"": ""Large Hall"", ""settings"": {""level"": 9.5, ""decay"": 6.0, ""tone"": 2.0}}"
Maggot Brain,Funkadelic,https://www.youtube.com/watch?v=4Inr22ZBmdw,120,50s Twin,3.5,6.0,7.0,4.5,6.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 7.5, ""thresh"": 4.0, ""mode"": ""LO-DOWN"", ""filter"": ""LPF"", ""peak"": 7.0}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 6.0, ""tone"": 5.5}}"
Panama,Van Halen,https://www.youtube.com/watch?v=YRFKU6QvBJY,0,80s Rock,10.0,5.0,10.0,1.0,6.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 7.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 6.6, ""speed"": 3.1, ""depth"": 2.7}}","{""type"": ""Echo"", ""settings"": {""level"": 2.9, ""time"": 200, ""feedback"": 3.0, ""wow"": 3.0}}","{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}"
"The Good, the Bad and the Ugly (Main Theme)",Ennio Morricone,https://www.youtube.com/watch?v=iE5CkYe6ASg,60,50s Twin,7.5,7.0,5.0,7.0,5.0,None,"{""type"": ""Tremolo"", ""settings"": {""level"": 6.5, ""speed"": 5.5}}","{""type"": ""Echo"", ""settings"": {""level"": 3.0, ""time"": 316, ""feedback"": 8.5, ""wow"": 8.5}}","{""type"": ""Plate"", ""settings"": {""level"": 9.0, ""decay"": 2.5, ""tone"": 5.0}}"
Give Me the Night,George Benson,https://www.youtube.com/watch?v=FIF7wKJb2iU,0,Super Clean,2.5,4.5,5.5,6.0,5.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Chorus"", ""settings"": {""level"": 3.2, ""speed"": 1.2, ""depth"": 2.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.3, ""time"": 325, ""feedback"": 2.5, ""tone"": 4.0}}","{""type"": ""Spring 65"", ""settings"": {""level"": 2.5, ""decay"": 2.5, ""tone"": 2.5}}"
Coffee & TV,Blur,https://www.youtube.com/watch?v=cHrNTR05voQ,30,60s Uk Cln,4.5,7.0,5.0,8.5,6.5,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 2.5, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Flanger"", ""settings"": {""level"": 6.5, ""speed"": 3.0, ""depth"": 6.5, ""feedback"": 7.5}}",None,"{""type"": ""Arena"", ""settings"": {""level"": 3.0, ""decay"": 5.5, ""tone"": 5.5}}"
Apache,The Shadows,https://www.youtube.com/watch?v=Px_krd_edFI,20,Twin Clean,4.0,7.0,7.0,8.0,6.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Tremolo"", ""settings"": {""level"": 8.0, ""speed"": 5.5}}","{""type"": ""Echo"", ""settings"": {""level"": 4.0, ""time"": 299, ""feedback"": 1.0, ""wow"": 5.5}}","{""type"": ""Plate"", ""settings"": {""level"": 9.5, ""decay"": 3.5, ""tone"": 1.5}}"
Motorcycle Emptiness,Manic Street Preachers,https://www.youtube.com/watch?v=gavcjNniIvk,0,70s Uk Cln,5.0,8.0,4.0,7.0,3.0,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 6.0, ""distort"": 5.0, ""filter"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 7.0, ""speed"": 4.5, ""depth"": 3.5}}",None,"{""type"": ""Small Room"", ""settings"": {""level"": 3.5, ""decay"": 5.5, ""tone"": 5.5}}"
One,Metallica,https://www.youtube.com/watch?v=WM8bTdBs-cw,250,70s Uk Cln,10.0,5.5,10.0,1.0,5.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 4.0, ""gain"": 5.0, ""treble"": 5.0}}",None,None,"{""type"": ""Plate"", ""settings"": {""level"": 4.7, ""decay"": 7.0, ""tone"": 5.5}}"
Voodoo Child (Slight Return),Jimi Hendrix,https://www.youtube.com/watch?v=C0XwPUFfFwE,46,60s Uk Cln,6.5,8.0,3.5,5.5,4.6,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 5.0, ""thresh"": 5.5, ""mode"": ""HI-UP"", ""filter"": ""BPF"", ""peak"": 5.0}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}"
Where Is My Mind?,Pixies,https://www.youtube.com/watch?v=tPgf_btTFlc,10,Super Clean,4.5,9.5,6.5,5.5,4.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 6.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 3.5, ""speed"": 5.0, ""depth"": 6.0}}",None,"{""type"": ""Plate"", ""settings"": {""level"": 3.5, ""decay"": 7.0, ""tone"": 4.5}}"
Spellbound,Siouxsie and the Banshees,https://www.youtube.com/watch?v=TjvvK-Rj0WI,0,50s Twin,3.0,6.0,10.0,8.0,7.0,"{""type"": ""Myth Drive"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 8.5, ""speed"": 4.5, ""depth"": 6.0}}","{""type"": ""Echo"", ""settings"": {""level"": 2.5, ""time"": 125, ""feedback"": 3.5, ""wow"": 10.0}}","{""type"": ""Arena"", ""settings"": {""level"": 2.5, ""decay"": 5.5, ""tone"": 5.5}}"
Creep,Radiohead,https://www.youtube.com/watch?v=XFkzRNyygfk,123,90s Rock,5.0,7.5,6.0,7.5,3.0,"{""type"": ""Blues Drive"", ""settings"": {""level"": 3.0, ""gain"": 9.5, ""tone"": 5.0, ""blend"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 2.0, ""depth"": 2.0}}","{""type"": ""Echo"", ""settings"": {""level"": 6.0, ""time"": 42, ""feedback"": 5.0, ""wow"": 4.5}}","{""type"": ""Spring 65"", ""settings"": {""level"": 9.5, ""decay"": 5.5, ""tone"": 5.0}}"
This Charming Man,The Smiths,https://www.youtube.com/watch?v=cJRP3LRcUFg,60,Super Clean,5.5,7.0,4.5,7.5,3.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.0, ""depth"": 4.0}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 4.0, ""decay"": 4.0, ""tone"": 5.5}}"
Flip the Switch,The Rolling Stones,https://www.youtube.com/watch?v=dbm1dWfZej8,60,80s Rock,7.0,10.0,8.0,4.5,9.5,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 7.5, ""tone"": 5.0, ""sustain"": 5.0}}","{""type"": ""Phaser"", ""settings"": {""level"": 2.0, ""speed"": 4.0, ""depth"": 6.5}}",None,"{""type"": ""Plate"", ""settings"": {""level"": 10.0, ""decay"": 5.5, ""tone"": 4.5}}"
Smells Like Teen Spirit,Nirvana,https://www.youtube.com/watch?v=hTWKbfoikeg,60,60s Uk Cln,3.0,8.0,10.0,10.0,5.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.5, ""gain"": 10.0, ""vari"": ""tight""}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.5, ""speed"": 3.0, ""depth"": 8.0}}",None,None
Come as You Are,Nirvana,https://www.youtube.com/watch?v=vabnZ9-ex7o,0,60s Uk Cln,3.0,8.0,10.0,10.0,5.0,None,"{""type"": ""Chorus"", ""settings"": {""level"": 9.5, ""speed"": 3.0, ""depth"": 8.0}}",None,None
Paperback Writer,The Beatles,https://www.youtube.com/watch?v=yYvkICbTZIQ,80,70s Uk Cln,7.0,6.0,6.0,6.0,4.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",None,"{""type"": ""Echo"", ""settings"": {""level"": 2.0, ""time"": 145, ""feedback"": 2.5, ""wow"": 8.0}}",None
Chamber of Reflection,Mac DeMarco,https://www.youtube.com/watch?v=jja0UmQZ6vY,42,Twin Clean,5.0,6.5,5.4,4.4,8.2,"{""type"": ""Sustain"", ""settings"": {""sense"": 5.0, ""level"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.5, ""depth"": 3.0}}","{""type"": ""Delay"", ""settings"": {""level"": 4.0, ""time"": 180, ""feedback"": 5.5, ""tone"": 5.5}}","{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 5.9, ""tone"": 1.0}}"
Jockey Full of Bourbon,Tom Waits,https://www.youtube.com/watch?v=ipQgbKEK4s0,80,50s Twin,4.0,9.0,5.0,5.5,7.5,None,"{""type"": ""Tremolo"", ""settings"": {""level"": 7.0, ""speed"": 3.0}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 2.5, ""decay"": 5.0, ""tone"": 5.0}}"
Sultans of Swing,Dire Straits,https://www.youtube.com/watch?v=h0ffIJ7ZO4U,0,Twin Clean,4.0,8.0,7.5,7.5,3.0,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}","{""type"": ""Chorus"", ""settings"": {""level"": 4.5, ""speed"": 5, ""depth"": 5}}",None,"{""type"": ""Spring 65"", ""settings"": {""level"": 2.5, ""decay"": 5, ""tone"": 5.5}}"
Enter Sandman,Metallica,https://www.youtube.com/watch?v=CD-E-LDc384,35,90s Rock,9.0,7.0,9.0,1.5,5.0,None,None,None,"{""type"": ""Small Room"", ""settings"": {""level"": 5.5, ""decay"": 5.5, ""tone"": 5.5}}"
Moonage Daydream,David Bowie,https://www.youtube.com/watch?v=RPUAldgS7Sg,87,70s Rock,7.0,9.5,4.5,5.5,7.0,None,None,None,"{""type"": ""Large Hall"", ""settings"": {""level"": 4.0, ""decay"": 3.0, ""tone"": 7.0}}"
Are You Looking Up,mk.gee,https://www.youtube.com/watch?v=DxdKr5PmlPw,60,Super Clean,5.5,10.0,10.0,9.1,9.1,"{""type"": ""Octobot"", ""settings"": {""direct"": 1.0, ""down"": 7.0, ""sizzle"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 3.2, ""depth"": 3.7}}","{""type"": ""Echo"", ""settings"": {""level"": 1.5, ""time"": 290, ""feedback"": 4.4, ""wow"": 6.8}}","{""type"": ""Plate"", ""settings"": {""level"": 9, ""decay"": 2.7, ""tone"": 4.0}}"
Last Nite,The Strokes,https://www.youtube.com/watch?v=TOypSnKFHrE,95,Burn,1.8,5.0,8.7,6.6,4.2,"{""type"": ""5 Band EQ"", ""settings"": {""low"": 0.0, ""low_mid"": 0.0, ""mid"": 12.0, ""high_mid"": 0.0, ""high"": 0.0}}",None,None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 4.5, ""tone"": 10.0}}"
Good Times,Chic,https://www.youtube.com/watch?v=Q5C9oeKxJzo,0,Twin Clean,3.0,7.0,6.0,6.0,7.5,"{""type"": ""Compressor"", ""settings"": {""type"": ""mid""}}",None,"{""type"": ""Delay"", ""settings"": {""level"": 5.0, ""time"": 483, ""feedback"": 3.0, ""tone"": 5.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 4.0, ""decay"": 4.5, ""tone"": 3.5}}"
Unsung,Helmet,https://www.youtube.com/watch?v=JcF7W5eloYM,12,90s Rock,7.5,5.0,8.0,6.0,9.0,"{""type"": ""Octobot"", ""settings"": {""direct"": 8.5, ""down"": 5.0, ""sizzle"": 5.0}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 2.0, ""thresh"": 7.5, ""mode"": ""HI-UP"", ""filter"": ""BPF"", ""peak"": 6.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.0, ""time"": 352, ""feedback"": 2.5, ""tone"": 1.0}}","{""type"": ""Large Hall"", ""settings"": {""level"": 2.5, ""decay"": 7.5, ""tone"": 6.0}}"
Dress,PJ Harvey,https://www.youtube.com/watch?v=4lS5jTedHBg,16,60s Uk Cln,6.0,6.0,5.5,6.5,5.0,"{""type"": ""Rock Dirt"", ""settings"": {""level"": 3.0, ""distort"": 5.0, ""filter"": 5.0}}",None,None,"{""type"": ""Large Hall"", ""settings"": {""level"": 2.0, ""decay"": 3.0, ""tone"": 10.0}}"
Attack of the Ghost Riders,The Raveonettes,https://www.youtube.com/watch?v=1gQEvupSrRY,55,Deluxe Cln,9.5,4.5,9.0,3.5,7.5,"{""type"": ""Sustain"", ""settings"": {""sense"": 5.0, ""level"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 9.0, ""speed"": 4.5, ""depth"": 1.5}}","{""type"": ""Delay"", ""settings"": {""level"": 3.5, ""time"": 400, ""feedback"": 5.5, ""tone"": 5.5}}","{""type"": ""Large Hall"", ""settings"": {""level"": 10.0, ""decay"": 10.0, ""tone"": 8.0}}"
All's Well That Ends,Rainbow Kitten Surprise,https://www.youtube.com/watch?v=fSOl7lYSE3c,0,Twin Clean,4.5,5.5,6.0,7.5,6.9,"{""type"": ""Myth Drive"", ""settings"": {""level"": 7.0, ""gain"": 5.0, ""treble"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 6.5, ""speed"": 3.0, ""depth"": 2.0}}",None,"{""type"": ""Arena"", ""settings"": {""level"": 7.0, ""decay"": 4.7, ""tone"": 6.6}}"
Play for Today,The Cure,https://www.youtube.com/watch?v=_iJ7U1qP7KA,30,Doom Metal,2.5,9.5,10.0,1.0,6.5,None,"{""type"": ""Flanger"", ""settings"": {""level"": 10.0, ""speed"": 4.0, ""depth"": 4.5, ""feedback"": 8.0}}",None,"{""type"": ""Large Hall"", ""settings"": {""level"": 4.0, ""decay"": 5.0, ""tone"": 8.0}}"
Pearly-Dewdrops' Drops,Cocteau Twins,https://www.youtube.com/watch?v=s-5Xgw6d3h0,0,Princeton,6.5,9.0,6.5,6.5,6.5,None,"{""type"": ""Chorus"", ""settings"": {""level"": 10.0, ""speed"": 4.5, ""depth"": 3.0}}","{""type"": ""Delay"", ""settings"": {""level"": 5.0, ""time"": 400, ""feedback"": 9.0, ""tone"": 1.5}}","{""type"": ""Spring 65"", ""settings"": {""level"": 8.0, ""decay"": 3.5, ""tone"": 5.5}}"
Helicopter,Bloc Party,https://www.youtube.com/watch?v=kkkA85hPtYw,135,Burn,6.9,6.5,3.5,8.5,2.0,"{""type"": ""Sustain"", ""settings"": {""sense"": 5.0, ""level"": 5.0}}","{""type"": ""Tremolo"", ""settings"": {""level"": 9.5, ""speed"": 6.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 547, ""feedback"": 8.0, ""tone"": 6.5}}","{""type"": ""Small Room"", ""settings"": {""level"": 9.0, ""decay"": 2.0, ""tone"": 5.5}}"
Sweet Child O' Mine,Guns N' Roses,https://www.youtube.com/watch?v=1w7OgIMMRc4,0,70s Rock,8.0,8.0,10.0,6.0,10.0,"{""type"": ""Blues Drive"", ""settings"": {""level"": 5.9, ""gain"": 10.0, ""tone"": 5.0, ""blend"": 5.0}}","{""type"": ""Touch Wah"", ""settings"": {""level"": 3.4, ""thresh"": 5.5, ""mode"": ""LO-UP"", ""filter"": ""HPF"", ""peak"": 5.5}}","{""type"": ""Delay"", ""settings"": {""level"": 2.5, ""time"": 226, ""feedback"": 5.5, ""tone"": 5.5}}","{""type"": ""Arena"", ""settings"": {""level"": 2.5, ""decay"": 5.5, ""tone"": 5.5}}"
Kannon 1,Sunn O,https://www.youtube.com/watch?v=IswnGaGxvRQ,150,Doom Metal,7.5,6.0,8.0,4.0,7.0,"{""type"": ""Fuzz"", ""settings"": {""level"": 5.0, ""gain"": 5.0, ""vari"": ""loose""}}","{""type"": ""Vibratone"", ""settings"": {""level"": 6.5, ""speed"": 10.0, ""depth"": 2.5, ""feedback"": 7.0, ""phase"": 6.0}}","{""type"": ""Echo"", ""settings"": {""level"": 3.0, ""time"": 361, ""feedback"": 3.0, ""wow"": 7.5}}","{""type"": ""Arena"", ""settings"": {""level"": 5.0, ""decay"": 5.5, ""tone"": 3.5}}"
Firth of Fifth,Genesis,https://www.youtube.com/watch?v=Rz-tHZEr37I,390,60s Uk Cln,4.4,6.0,7.0,4.5,4.0,"{""type"": ""Overdrive"", ""settings"": {""level"": 4.5, ""gain"": 5.5, ""low"": 5.5, ""mid"": 5.0, ""high"": 5.0}}","{""type"": ""Chorus"", ""settings"": {""level"": 3.3, ""speed"": 2.6, ""depth"": 3.5}}","{""type"": ""Echo"", ""settings"": {""level"": 4.8, ""time"": 450, ""feedback"": 3.4, ""wow"": 1.5}}","{""type"": ""Plate"", ""settings"": {""level"": 3.7, ""decay"": 4.0, ""tone"": 4.5}}"
Kilby Girl,The Backseat Lovers,https://www.youtube.com/watch?v=oTwVce9eWb4,60,Twin Clean,3.6,5.9,7.0,6.0,4.0,"{""type"": ""Overdrive"", ""settings"": {""level"": 5.5, ""gain"": 3.6, ""low"": 5.5, ""mid"": 5.5, ""high"": 5.5}}",None,None,"{""type"": ""Large Hall"", ""settings"": {""level"": 3.8, ""decay"": 3.2, ""tone"": 7.2}}"
Maple Syrup,The Backseat Lovers,https://www.youtube.com/watch?v=Gl2TEwnacwM,205,Princeton,7.0,5.0,6.0,4.6,1.9,"{""type"": ""Myth Drive"", ""settings"": {""level"": 7.0, ""gain"": 8.0, ""treble"": 7.0}}",None,None,"{""type"": ""Spring 65"", ""settings"": {""level"": 5.5, ""decay"": 3.2, ""tone"": 5.5}}"
Every Breath You Take,The Police,https://www.youtube.com/watch?v=OMOGaugKpzs,0,Princeton,3.3,6.0,6.5,4.5,3.2,None,"{""type"": ""Chorus"", ""settings"": {""level"": 2.5, ""speed"": 3.0, ""depth"": 3.5}}","{""type"": ""Echo"", ""settings"": {""level"": 4.0, ""time"": 400, ""feedback"": 2.5, ""wow"": 1.2}}","{""type"": ""Plate"", ""settings"": {""level"": 2.5, ""decay"": 3.0, ""tone"": 5.0}}"
Shed,Title Fight,https://www.youtube.com/watch?v=SE41j8h6P4g,10,80s Rock,2.0,7.0,4.0,6.0,8.0,None,"{""type"": ""Chorus"", ""settings"": {""level"": 4.0, ""speed"": 4.6, ""depth"": 3.5}}",None,"{""type"": ""Large Hall"", ""settings"": {""level"": 3.8, ""decay"": 3.2, ""tone"": 7.2}}"
Iron Man,Black Sabbath,https://www.youtube.com/watch?v=iFgqckcGpDA,30,Twin Clean,4.5,6.5,4.0,6.5,2.0,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 5.0, ""tone"": 5.0, ""sustain"": 5.0}}",None,None,"{""type"": ""Large Hall"", ""settings"": {""level"": 4.0, ""decay"": 10.0, ""tone"": 1.0}}"
Just Like Honey,The Jesus and Mary Chain,https://www.youtube.com/watch?v=7EgB__YratE,60,Twin Clean,3.0,7.5,7.0,6.5,6.0,"{""type"": ""Big Fuzz"", ""settings"": {""level"": 7.5, ""tone"": 5.0, ""sustain"": 5.0}}",None,None,"{""type"": ""Spring 65"", ""settings"": {""level"": 10.0, ""decay"": 6.0, ""tone"": 4.5}}"
